message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,received,payment,"The message is a routine banking update regarding account or card payments, which falls under standard business communications without meeting the strict criteria for immediate notification.",0.95,none
msg_091,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0381;message_0238)",1.0,message_0381;message_0238
msg_090,received,personal,"The message is a standard personal inquiry regarding a package mix-up with no urgency or critical threat, which defaults to received.",0.95,none
msg_048,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0152;message_0151;message_0150)",1.0,message_0152;message_0151;message_0150
msg_040,mute,spam,"Unwanted chain letter, spam broadcast, or mass forward. (Citing historical context: message_0136;message_0135;message_0259)",1.0,message_0136;message_0135;message_0259
msg_075,received,business_update,The message is a routine ride-sharing status update and does not meet the criteria for urgent real-time notification or mute.,0.95,none
msg_005,mute,personal,Matched evidence ID message_0095 showing prior mutes after receiving similar group chat selling offers.,0.95,none
msg_104,mute,personal,Matched evidence ID message_0050 and message_0232 showing historical mutes for similar personal items and pickup coordination topics.,0.95,none
msg_069,mute,spam,"Unwanted chain letter, spam broadcast, or mass forward. (Citing historical context: message_0194;message_0193;message_0042)",1.0,message_0194;message_0193;message_0042
msg_107,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0214;message_0173;message_0213)",1.0,message_0214;message_0173;message_0213
msg_070,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0214;message_0173;message_0213)",1.0,message_0214;message_0173;message_0213
msg_003,received,business_update,This is a routine order update from Amazon. It does not meet the strict criteria for immediate notification and falls under standard business communications as seen in historical messages like message_0031.,0.95,none
msg_099,received,business_update,"The message is a routine work update about tomorrow's dashboard review with no immediate emergency, fitting the criteria for a default received action.",0.95,none
msg_008,received,business_update,"The message is a routine feedback request from a verified business and does not meet the strict thresholds for urgent notification or mute, aligning with standard business communications as seen in similar past messages like message_0072.",0.95,none
msg_092,received,payment,"The message is a routine monthly card statement notification with no urgency or immediate well-being threat, falling under the default received category according to Rule 3.",0.95,none
msg_060,received,event,"The message is a standard administrative deadline reminder regarding internship approval forms matching historical interactions in message_0284, warranting standard received delivery without urgent notification overrides.",0.95,none
msg_004,received,business_update,"The message is a standard routine business notification regarding healthcare updates. It does not meet the strict emergency or immediate active coordination criteria for a 'notify' action, nor does it violate any mute conditions.",0.95,none
msg_030,mute,promotion,Matched evidence ID message_0115 and message_0050 showing historical user mutes for similar clothing sales in this group context.,0.95,none
msg_045,notify,event,The message is a direct time-sensitive delivery request requiring immediate human coordination at the gate within 10 minutes.,0.95,none
msg_052,mute,scam,"Matched evidence ID message_0207, message_0208, and message_0160 showing past user reports and mutes, and Domain Mismatch is True indicating a phishing scam.",1.0,none
msg_009,received,personal,"The message is a casual group inquiry about cricket highlights with no urgency or critical threats, falling under standard communication suitable for the received action.",0.95,none
msg_071,received,personal,"The message is a casual, non-urgent personal update about meeting up or dinner plans without a specified time, falling under standard non-urgent communication.",0.95,none
msg_016,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0087;message_0184;message_0088)",1.0,message_0087;message_0184;message_0088
msg_065,received,promotion,"The message is a promotional offer from Amazon regarding discounted items, fitting into standard marketing communications.",0.95,none
msg_038,mute,spam,"Unwanted chain letter, spam broadcast, or mass forward. (Citing historical context: message_0131;message_0132)",1.0,message_0131;message_0132
msg_086,mute,business_update,Matched rule 1 requiring mute due to Domain Mismatch being True despite the verified business status.,0.95,none
msg_014,mute,promotion,Matched evidence ID message_0017 showing prior user mutes for this specific promotional sender and topic.,1.0,none
msg_094,received,promotion,"The message is a standard promotional offer for wellness products and falls under the exclusions for notify, making received the default action.",0.95,none
msg_029,mute,promotion,Matched evidence ID message_0095 showing prior mutes for similar selling content.,0.95,none
msg_105,mute,spam,"Matched historical evidence ID message_0233 and message_0373 showing prior mutes for identical forwarded medical misinformation, coupled with a high forward count of 7 from an unverified sender.",1.0,none
msg_002,notify,urgent,"The message is a direct 1:1 style request within a group mentioning a time-sensitive client meeting and a refund edge case, which requires immediate human coordination as supported by historical responsiveness in message_0266 and message_0169.",0.85,none
msg_010,received,business_update,This is a routine feedback request from a verified business and does not meet the strict criteria for immediate notification or mute.,0.95,none
msg_078,mute,scam,"Matched evidence ID message_0211 and message_0212 showing prior user reports and mutes, coupled with high forward count of 10 and suspicious content requesting sensitive bank details.",1.0,none
msg_013,mute,promotion,"Matched historical evidence ID message_0082 and message_0081 showing prior mutes, and the message content is a promotional discount offer requiring fast clearance.",0.95,none
msg_018,mute,scam,Matched evidence ID message_0026 and message_0092 showing this is a recurring scam message with high forward counts and prior user reports.,1.0,none
